Albert_Schweitzer,阿尔伯特·史怀哲
Semolina,粗粒小麥粉
Cheese_curd,奶酪凝块
99_Ranch_Market,大华超级市场
Caffè_macchiato,瑪琪雅朵咖啡
Cordyline_australis,Cordyline_australis
Goat_cheese,契福瑞芝士
Oenology,葡萄酒工艺学
Bon_Scott,Bon_Scott
State_emblem_of_Pakistan,巴基斯坦国徽
Coat_of_arms_of_Jordan,约旦国徽
Cicer,鹰咀豆属
Prunus_laurocerasus,桂樱
Prunus_spinosa,黑刺李
Open_sandwich,Open_sandwich
Prunus_armeniaca,杏
Snickers,士力架
Macaroni_and_cheese,Macaroni_and_cheese
Huevos_motuleños,Huevos_motuleños
Torrey_pine,Torrey_pine
Country_Style,Country_Style
Mr._Sub,Mr._Sub
Cott,Cott
Saloio,Saloio
Chislic,Chislic
American_Viticultural_Area,American_Viticultural_Area
Wok_with_Yan,Wok_with_Yan
Emblem_of_Guinea-Bissau,几内亚比绍国徽
Emblem_of_Afghanistan,阿富汗国徽
Liverwurst,德國豬肝腸
Jägermeister,野格力娇酒
List_of_grape_varieties,List_of_grape_varieties
Paarl,帕阿爾
DNA_Lounge,DNA_Lounge
Oxalis_tuberosa,Oxalis_tuberosa
Malay_cuisine,Malay_cuisine
Aleurites_moluccanus,石栗
Rocky_Mountain_oysters,Rocky_Mountain_oysters
Coat_of_arms_of_Antigua_and_Barbuda,安提瓜和巴布達國徽
Edward_Thomas_Brady,Edward_Thomas_Brady
Caciocavallo,Caciocavallo
Kashkaval,Kashkaval
Parrotfish,鸚哥魚科
Stellenbosch,斯泰倫博斯
Nebbiolo,内比奥罗
In-N-Out_Burger,In-N-Out漢堡
Shawarma,沙威玛
Glengettie,Glengettie
Scallion,青蔥
William_Saunders_(botanist),William_Saunders_(botanist)
Charles_Friedel,查尔斯·弗里德尔
Marzipan,杏仁膏
APCOR,APCOR
Ken_James_(Australian_actor),Ken_James_(Australian_actor)
Punsch,Punsch
Apple_juice,蘋果汁
Bel_Paese_(cheese),貝爾·佩塞芝士
Pepsi_One,Pepsi_One
Coat_of_arms_of_Armenia,亚美尼亚国徽
Oak_Apple_Day,Oak_Apple_Day
Tagliatelle,Tagliatelle
National_emblem_of_Azerbaijan,阿塞拜疆国徽
National_Emblem_of_Bangladesh,孟加拉国国徽
National_emblem_of_Belarus,白俄罗斯国徽
Coat_of_arms_of_Benin,贝宁国徽
Paul_Ricœur,保罗·利科
Alton_Brown,Alton_Brown
The_Church_Brew_Works,The_Church_Brew_Works
Coat_of_arms_of_Bolivia,玻利維亞國徽
Great_Seal_of_California,加利福尼亚州州徽
"Chinatown,_Los_Angeles","Chinatown,_Los_Angeles"
Linguiça,Linguiça
Eurocorps,歐洲軍團
Barbera,Barbera
Pinus_lambertiana,Pinus_lambertiana
Goose_barnacle,Goose_barnacle
Paan,Paan
Kate_Sheppard,凯特·谢泼德
Myoga,蘘荷
Crambe_maritima,Crambe_maritima
Mediterranean_diet,地中海飲食
Loel_Guinness_(politician),Loel_Guinness_(politician)
Lucius_Cornelius_Balbus_(consul),巴尔布斯
Lucius_Cornelius_Balbus_the_Younger,Lucius_Cornelius_Balbus_the_Younger
Dunkin'_Donuts,唐恩都乐
Winchell's_Donuts,Winchell's_Donuts
Chick-fil-A,Chick-fil-A
Fettuccine_Alfredo,Fettuccine_Alfredo
Arnold_Rothstein,阿諾·羅斯汀
Jason_Kidd,贾森·基德
List_of_breakfast_cereals,List_of_breakfast_cereals
Weet-Bix,Weet-Bix
Jerusalem_artichoke,洋姜
Christian_Laettner,克里斯汀·莱特纳
924_Gilman_Street,924_Gilman_Street
Doublemint,青箭
Juicy_Fruit,Juicy_Fruit
Michael_Winner,Michael_Winner
Shortbread,奶油酥餅
Wrigley_Company,箭牌
Pinus_strobiformis,Pinus_strobiformis
Pinus_strobus,北美乔松
Vinho_Verde,Vinho_Verde
Zongzi,粽
Winter_melon,冬瓜
Mung_bean,绿豆
San_Miguel_Corporation,生力集團
Betula_nigra,Betula_nigra
Tanganyika_groundnut_scheme,坦噶尼克花生計劃
Cream_of_Wheat,Cream_of_Wheat
Syrniki,錫爾尼基
Earl_of_Iveagh,Earl_of_Iveagh
Niagara_(grape),Niagara_(grape)
Must,葡萄漿
Rose's_lime_juice,Rose's_lime_juice
Vito_Genovese,維多·吉諾維斯
Jamaica_ginger,Jamaica_ginger
Pieces_of_April,潮女私房菜
Gravelly_Hill_Interchange,格瑞夫里山立交桥
White_Day,白色情人節
Toblerone,三角巧克力
Citrus_production,Citrus_production
Watercress,西洋菜
Strongbow_(cider),Strongbow_(cider)
Robin_and_the_7_Hoods,Robin_and_the_7_Hoods
Camembert,卡芒贝尔奶酪
Ronald_McDonald_House_Charities,麥當勞叔叔之家慈善基金
Coat_of_arms_of_Burkina_Faso,布基纳法索国徽
King_cake,国王饼
Garden_cress,水芹 (十字花科)
Scrambled_eggs,炒蛋
Soufflé,梳芙厘
Coat_of_arms_of_Alberta,Coat_of_arms_of_Alberta
Flying_fish,飞鱼
Johnny_Torrio,強尼·托里奧
Corn_starch,玉米澱粉
Dairy_Farm_International_Holdings,牛奶國際
Coat_of_arms_of_the_Cayman_Islands,Coat_of_arms_of_the_Cayman_Islands
Soy_milk,豆浆
Otto_Fritz_Meyerhof,奧托·邁爾霍夫
Pinot_Meunier,Pinot_Meunier
Amazake,日本甘酒
Jalapeño,墨西哥辣椒
Chipotle,Chipotle
Chaenomeles,木瓜属
National_Emblem_of_the_People's_Republic_of_China,中华人民共和国国徽
Coat_of_arms_of_Colombia,哥伦比亚国徽
Vindaloo,Vindaloo
Fugu,河魨
Allium_ursinum,熊葱
Luis_Maravilla,Luis_Maravilla
Egg_cream,Egg_cream
Rakia,拉基亞
Gyūdon,牛丼
Salak,蛇皮果
Dioscorea_alata,参薯
Corn_Belt,玉米帶
Buckfast_Tonic_Wine,Buckfast_Tonic_Wine
Cooking_with_the_Wolfman,Cooking_with_the_Wolfman
Green_River_(soft_drink),Green_River_(soft_drink)
Philip_de_László,Philip_de_László
Dwight_Howard,迪韋特·侯活
Chicken_nugget,雞塊
Caffè_corretto,卡瑞托咖啡
Bulgogi,Bulgogi
Empetrum,岩高兰属
Thali,Thali
Coat_of_arms_of_Botswana,博茨瓦納國徽
Mixed_pickle,Mixed_pickle
Eggs_Benedict,火腿蛋鬆餅
Big_Rock_Brewery,Big_Rock_Brewery
Fiddlehead_fern,Fiddlehead_fern
Malagueta_pepper,馬拉蓋塔椒
Kelis,Kelis
Russian_dressing,Russian_dressing
Chuckles,Chuckles
Hot_dry_noodles,热干面
Pie_and_mash,Pie_and_mash
Grand_Marnier,柑曼怡
Mashed_potato,馬鈴薯泥
Toad_in_the_hole,Toad_in_the_hole
Pork_pie,Pork_pie
Turkish_coffee,土耳其咖啡
Raisin_Bran,Raisin_Bran
Frosted_Flakes,Frosted_Flakes
Sean_Elliott,肖恩·埃利奥特
Gelato,義式冰淇淋
Tender_Vittles,Tender_Vittles
Apicius,Apicius
Aunt_Jemima,Aunt_Jemima
Happy_Meal,开心乐园餐
Anpan,豆沙麵包
American_alligator,美國短吻鱷
Guacamole,鳄梨酱
Quesadilla,墨西哥芝士馅饼
Fried_bread,Fried_bread
Youtiao,油条
Salmiakki_Koskenkorva,Salmiakki_Koskenkorva
Fruit_wine,果酒
M&M's,M
Makar_Sankranti,Makar_Sankranti
Sekihan,Sekihan
Cowpea,豇豆
Semla,Semla
Molson_Prize,Molson_Prize
Sam_Woo_Restaurant,Sam_Woo_Restaurant
Twix,Twix
Arctic_roll,Arctic_roll
José_Mercé,José_Mercé
Camarón_de_la_Isla,卡馬隆·德·拉·伊斯拉
Moraíto_Chico_II,Moraíto_Chico_II
Vicente_Amigo,Vicente_Amigo
Pie_floater,Pie_floater
Danish_cuisine,丹麥飲食
Odile_of_Alsace,Odile_of_Alsace
Haggis_hurling,Haggis_hurling
Chitterlings,粉腸
Folies_Bergère,女神遊樂廳
Bran,Bran
Derbent,傑爾賓特
Ted_Allen,Ted_Allen
Poon_choi,盆菜
Windmill_Theatre,Windmill_Theatre
John_Harvey_Kellogg,John_Harvey_Kellogg
Hanami,花見
Castella,卡斯特拉
Ii_Naosuke,井伊直弼
Gomashio,Gomashio
Phaseolus_coccineus,荷包豆
Phaseolus_lunatus,棉豆
Wrigley_Field_(Los_Angeles),Wrigley_Field_(Los_Angeles)
Fanny_Brice,Fanny_Brice
Energy_bar,Energy_bar
Phaseolus_vulgaris,菜豆
Tetranychus_urticae,二斑叶螨
Le_Cordon_Bleu,巴黎藍帶廚藝學校
Max_Baer_(boxer),Max_Baer_(boxer)
Iekei_Ramen,Iekei_Ramen
Vigna_subterranea,Vigna_subterranea
Hans_Vaihinger,漢斯·費英格
Mornington_Peninsula,莫宁顿半岛
Hanabiramochi,Hanabiramochi
Kölsch_(beer),Kölsch_(beer)
Falukorv,法倫香腸
Hāngi,Hāngi
Branch_Brook_Park,Branch_Brook_Park
Mug_Root_Beer,Mug_Root_Beer
Edgar_Bronfman_Jr.,Edgar_Bronfman_Jr.
Konpeitō,金平糖
Gionbō,Gionbō
Shiso,回回苏
William_Farrer,William_Farrer
Matsutake,松茸
Rasheed_Wallace,拉希德·华莱士
Vince_Carter,文斯·卡特
Helles,Helles
Rendang,Rendang
Tea_sandwich,Tea_sandwich
Chevington_cheese,Chevington_cheese
Chocolate_brownie,巧克力布朗尼
Communes_of_the_Bas-Rhin_department_by_arrondissements_and_cantons,Communes_of_the_Bas-Rhin_department_by_arrondissements_and_cantons
Rimbach-près-Masevaux,里姆巴克普雷马瑟沃 (上莱茵省)
Grünkern,Grünkern
Tropicana_Field,純品康納球場
Ruby_Ridge,红宝石山脊
Cream_(nightclub),Cream_(nightclub)
The_Saint_(club),The_Saint_(club)
Sweetheart_cake,老婆餅
Takifugu,Takifugu
Chinese_noodles,中国面条
Daim_bar,Daim_bar
Maghreb_cuisine,Maghreb_cuisine
Rainforest_Cafe,熱帶雨林餐廳
Broth,清汤
Toucan_Sam,Toucan_Sam
Conrad_Hilton_Jr.,Conrad_Hilton_Jr.
Donald_Williams_(basketball),Donald_Williams_(basketball)
War_of_the_Bavarian_Succession,巴伐利亞王位繼承戰爭
Eddie_Meduza,Eddie_Meduza
Tracy_McGrady,特雷西·麦格克雷迪
Oranjeboom_Brewery,Oranjeboom_Brewery
Waffle_House,Waffle_House
Hunter_Region,獵人谷
Grolsch_Brewery,Grolsch_Brewery
Polish_Beer-Lovers'_Party,Polish_Beer-Lovers'_Party
Prince_of_Wales_tea_blend,威尔士王子茶
François_Andrieux,François_Andrieux
Persicaria_perfoliata,扛板归
Pierre-Paul_Schweitzer,Pierre-Paul_Schweitzer
Dutch_cheese_markets,Dutch_cheese_markets
The_Coronation_Tap,The_Coronation_Tap
Willard_Scott,Willard_Scott
Soda_bread,Soda_bread
Empanada,恩潘納達
Brewing_in_Oregon,Brewing_in_Oregon
Alliaria_petiolata,葱芥
Fried_rice,炒飯
Chicago-style_pizza,Chicago-style_pizza
Pâté_chinois,Pâté_chinois
Macrotyloma_uniflorum,硬皮豆
Bixa_orellana,红木
Baron_Moyne,Baron_Moyne
Jean-Luc_Nancy,讓-呂克·南希
Beer_tap,Beer_tap
"The_Angel,_Islington","The_Angel,_Islington"
J._Lyons_and_Co.,J._Lyons_and_Co.
Kinnie,Kinnie
Pinus_pumila,偃松
Valpolicella,Valpolicella
Asiago_cheese,艾斯阿格芝士
Almanzor,Almanzor
Tim_Hortons_Brier,Tim_Hortons_Brier
Wafer,威化
Viticulture,葡萄栽培
Freebirds_World_Burrito,Freebirds_World_Burrito
Alice's_Restaurant,Alice's_Restaurant
Braastad,Braastad
Processed_cheese,Processed_cheese
Adriana_La_Cerva,Adriana_La_Cerva
Cuban_sandwich,Cuban_sandwich
Cuban_cuisine,Cuban_cuisine
Alan_Ladd,Alan_Ladd
Jagertee,Jagertee
Hash_(food),Hash_(food)
Kraft_Foods,Kraft_Foods
Ganong_Bros.,Ganong_Bros.
Vigna_mungo,Vigna_mungo
Bengali_cuisine,Bengali_cuisine
Pak_Tea_House,Pak_Tea_House
Lujo_Brentano,盧約·布倫塔諾
Deba_bōchō,Deba_bōchō
Donabe,Donabe
Suribachi,Suribachi
List_of_Japanese_cooking_utensils,List_of_Japanese_cooking_utensils
Oroshigane,Oroshigane
Abura_kiri,Abura_kiri
Zaru,笳篱
Agemono_nabe,Agemono_nabe
Ami_jakushi,Ami_jakushi
Makisu,Makisu
Makiyakinabe,Makiyakinabe
Japanese_cutlery,庖丁
Mushiki,蒸籠
Nakiri_bōchō,Nakiri_bōchō
Otoshi_buta,Otoshi_buta
Yanagi_ba,Yanagi_ba
Usuba_bōchō,Usuba_bōchō
Catamarca_Province,卡塔马卡省
Jujuy_Province,胡胡伊省
Robert_Stout,Robert_Stout
Chilean_wine,智利葡萄酒
Chateaubriand_steak,Chateaubriand_steak
Maguro_bōchō,Maguro_bōchō
Sahti,Sahti
Elettaria,小豆蔻
"San_Juan_Province,_Argentina",圣胡安省 (阿根廷)
"La_Rioja_Province,_Argentina",拉里奥哈省
Rachel_Félix,Rachel_Félix
Langar_(Sikhism),Langar_(Sikhism)
Sydney_Tower,悉尼塔
Quercus_agrifolia,Quercus_agrifolia
Charles_Fox_Bennett,Charles_Fox_Bennett
Tomatillo,黏果酸漿
Tarte_Tatin,Tarte_Tatin
Signature_dish,Signature_dish
Smoked_beer,Smoked_beer
Suncake_(Taiwan),太陽餅
Ernest_Esclangon,Ernest_Esclangon
Latin_American_cuisine,拉丁美洲飲食
European_cuisine,歐洲飲食
Pimiento,Pimiento
Lecithin,卵磷脂
Bighorn_sheep,大角羊
Shamoji,饭勺
Kevin_Garnett,凯文·加内特
Oshizushihako,Oshizushihako
Urokotori,Urokotori
Cherry_pit_spitting,Cherry_pit_spitting
Yakisoba,Yakisoba
Schlenkerla,Schlenkerla
Canadian_Wheat_Board,加拿大小麥局
Leyden_cheese,萊頓芝士
Dagwood_sandwich,Dagwood_sandwich
Coulter_pine,大果松
Lunch_meat,Lunch_meat
Taittinger,Taittinger
Allium_oleraceum,Allium_oleraceum
Blavod,Blavod
List_of_sushi_and_sashimi_ingredients,List_of_sushi_and_sashimi_ingredients
Chris_Webber,克里斯·韋伯
Masaharu_Morimoto,Masaharu_Morimoto
Matteuccia,荚果蕨
Allium_tuberosum,韭菜
Balti_(food),Balti_(food)
Charles_Frédéric_Gerhardt,Charles_Frédéric_Gerhardt
Chen_Kenichi,陳建一
Joseph_Schlitz_Brewing_Company,Joseph_Schlitz_Brewing_Company
Hiroyuki_Sakai,Hiroyuki_Sakai
Negroni,Negroni
Wedding_soup,Wedding_soup
Ghirardelli_Chocolate_Company,Ghirardelli_Chocolate_Company
Aegopodium_podagraria,宽叶羊角芹
Independent_Order_of_Rechabites,Independent_Order_of_Rechabites
London_Astoria,London_Astoria
Cheesecake,起士蛋糕
Creemore_Springs,Creemore_Springs
Kenneth_D._Taylor,Kenneth_D._Taylor
Wesel,韋塞爾
Unagisaki_hōchō,Unagisaki_hōchō
"Northam,_Western_Australia","Northam,_Western_Australia"
Samosa,印度咖喱角
Scottish_Prohibition_Party,Scottish_Prohibition_Party
Wooster_Square,Wooster_Square
Arcadian_Court,Arcadian_Court
Acacia_aneura,Acacia_aneura
Otto_Loewi,奥托·勒维
Chris_Bosh,克里斯·波什
Mr._Peanut,Mr._Peanut
Planters,Planters
Amaretto,阿玛雷托
Hawaiian_pizza,Hawaiian_pizza
Stargazy_pie,Stargazy_pie
Devil's_food_cake,恶魔蛋糕
Disaronno,帝萨诺
Marsanne,Marsanne
Jelly_Tots,Jelly_Tots
Nutri-Grain,Nutri-Grain
Hot_chocolate,热巧克力
Apple_cider,Apple_cider
Prohibition_Party_(Canada),Prohibition_Party_(Canada)
Paddy_field,稻田
"Thal,_St._Gallen",塔爾 (聖加侖州)
Palmitic_acid,棕櫚酸
Isiah_Thomas,以賽亞·湯瑪斯
Sashimi_bōchō,Sashimi_bōchō
Kellogg's,家乐氏
Evian,依雲
Pedigree_Petfoods,Pedigree_Petfoods
Canal_Street_(Manchester),运河街 (曼彻斯特)
John_Cadbury,John_Cadbury
Chard,莙薘菜
Collard_greens,Collard_greens
Celeriac,Celeriac
Oliver's_Twist,Oliver's_Twist
Dried_fruit,果乾
Samuel_Bronfman,Samuel_Bronfman
Stone_pine,意大利石松
Marie_Callender's,Marie_Callender's
Malted_milk,Malted_milk
Drumstick_(ice_cream),Drumstick_(ice_cream)
Conveyor_belt_sushi,迴轉壽司
Hermitage_AOC,Hermitage_AOC
Ready_Steady_Cook,Ready_Steady_Cook
Donauturm,Donauturm
List_of_vegetarian_festivals,List_of_vegetarian_festivals
Limburgish_language,林堡语
Soup_kitchen,粥厂
Horseshoe_sandwich,Horseshoe_sandwich
Whassup?,Whassup?
Cream_cheese,奶油芝士
Punjabi_cuisine,Punjabi_cuisine
Canberra_District_wine_region,Canberra_District_wine_region
Jeff_Probst,Jeff_Probst
Key_lime_pie,墨西哥莱檬派
Udon_kiri,Udon_kiri
Weisswurst,巴伐利亞白香腸
St._Pepin_(grape),St._Pepin_(grape)
Folle_blanche,Folle_blanche
Cinsaut,Cinsaut
Alexander_Bannerman,Alexander_Bannerman
Rkatsiteli,白羽 (葡萄)
Carménère,卡門內葡萄
Chasselas,莎斯拉
Chenin_blanc,白诗南
Colombard,Colombard
Corvina,Corvina
Dolcetto,Dolcetto
Durif,Durif
Furmint,Furmint
Gamay,佳美
Garganega,Garganega
Ristretto,Ristretto
Iams,爱慕思
"Yoshino,_Nara",吉野町
Kelham_Island_Brewery,Kelham_Island_Brewery
P-38_can_opener,P-38_can_opener
Gottfried_von_Strassburg,Gottfried_von_Strassburg
McMansion,McMansion
Neil_Morrissey,Neil_Morrissey
Loyd_Grossman,Loyd_Grossman
Wrigley_Square,Wrigley_Square
Redhook_Ale_Brewery,Redhook_Ale_Brewery
Mulligatawny,咖喱肉湯
Woodley_Park_station,Woodley_Park_station
Boza,博薩 (飲料)
Polenta,波倫塔
Pontefract_cake,甘草甜餅
Gallery_Place_station,畫廊站
Tequila_Slammer,Tequila_Slammer
Po'_boy,牡蛎穷孩儿三明治
McWords,McWords
Alexander_Keith's_Brewery,Alexander_Keith's_Brewery
Alexander_Keith_(politician),Alexander_Keith_(politician)
Armillaria_mellea,蜜環菌
Loquat,枇杷
European_Science_Foundation,European_Science_Foundation
Rogan_josh,Rogan_josh
Celebrations_(confectionery),Celebrations_(confectionery)
Bakewell_pudding,Bakewell_pudding
Sugar-apple,Sugar-apple
Mildura,米爾杜拉
Dram_shop,Dram_shop
Cha_chaan_teng,茶餐廳
Cara_Operations,Cara_Operations
Syzygium_samarangense,蓮霧
Whopper,華堡
Ovadia_Yosef,奥瓦迪亚·优素福
Rice_milk,米漿
Heath_bar,Heath_bar
Barry_Haase,Barry_Haase
Branding_iron,Branding_iron
Eskimo_Pie,Eskimo_Pie
Frozen_custard,Frozen_custard
Chris_Mullin_(basketball),克里斯·穆林
Leucanthemum_vulgare,法蘭西菊
Boursin_cheese,波爾斯因芝士
Richard_Deacon_(actor),Richard_Deacon_(actor)
Fabada_asturiana,Fabada_asturiana
Brominated_vegetable_oil,溴化植物油
Fanny_Crosby,芬尼·克罗斯贝
Kale,羽衣甘藍
Hallelujah,哈利路亞
Land_O'Lakes,蓝多湖
Bosnian_Pot,Bosnian_Pot
Guinness_baronets,Guinness_baronets
The_Wedding_Banquet,囍宴 (電影)
Dovyalis_caffra,Dovyalis_caffra
Crispbread,Crispbread
Soft-shell_crab,軟殼蟹
Crystal_Pepsi,Crystal_Pepsi
Verizon_Center,威訊中心
Dorothy_Kilgallen,Dorothy_Kilgallen
The_Original_Soup_Man,The_Original_Soup_Man
Patty_melt,Patty_melt
Pop-Tarts,Pop-Tarts
Fox's_U-bet_chocolate_syrup,Fox's_U-bet_chocolate_syrup
Milkis,Milkis
Lotte_Chilsung,Lotte_Chilsung
Cassoulet,卡酥來砂鍋
Admiral_Duncan_(pub),Admiral_Duncan_(pub)
Cardoon,刺苞菜蓟
Bread_roll,圆面包
Tortellini,意大利馄饨
Haggadah,哈加达
H._P._Bulmer,H._P._Bulmer
Late_harvest_wine,晚收酒
Kaoliang,金門高粱酒
Fish_finger,Fish_finger
Scampi,Scampi
Schweppes,玉泉汽水
Saale-Unstrut,Saale-Unstrut
Pilaf,抓饭
Bulmers,Bulmers
Waiheke_Island,怀希基岛
Materva,Materva
Izakaya,居酒屋
Holsten_Brewery,Holsten_Brewery
Żubrówka,Żubrówka
Rice_and_curry,Rice_and_curry
Michel_Debré,米歇尔·德勃雷
Pierre_Pflimlin,Pierre_Pflimlin
Sommelier,侍酒師
Cherimoya,Cherimoya
Wilhelm_Scherer,Wilhelm_Scherer
Escargot,法國蝸牛
Jamaican_cuisine,Jamaican_cuisine
Pibb_Xtra,Pibb_Xtra
"Ulrich,_Duke_of_Württemberg","Ulrich,_Duke_of_Württemberg"
Ed_Delahanty,Ed_Delahanty
Rudolph_Minkowski,鲁道夫·闵可夫斯基
Sambar_(dish),Sambar_(dish)
SoBe,SoBe
Arak_(drink),亞力酒
Keemun,祁门红茶
Enokitake,金針菇
"King's_Head_Inn,_Aylesbury","King's_Head_Inn,_Aylesbury"
Austrian_cuisine,奧地利飲食
Salta,萨尔塔
Pyramid_Breweries,Pyramid_Breweries
Beef_noodle_soup,牛肉面
Don_Randall,Don_Randall
Viola_pedunculata,Viola_pedunculata
Cumberland_sausage,Cumberland_sausage
Magiritsa,Magiritsa
Ian_Parmenter,Ian_Parmenter
Periodical_cicadas,周期蝉
Cheez_Whiz,Cheez_Whiz
Dutch_process_chocolate,Dutch_process_chocolate
Macaroon,蛋白杏仁餅
Anthony_Bourdain,安東尼·波登
Pyrus_pyrifolia,沙梨
Pyrus_×_bretschneideri,鸭梨
Grey_Goose_(vodka),Grey_Goose_(vodka)
Mrs_Beeton's_Book_of_Household_Management,Mrs_Beeton's_Book_of_Household_Management
Hanky-Panky_cocktail,Hanky-Panky_cocktail
Masa,马萨 (食品)
Fonterra,恒天然合作社集团
Pahela_Baishakh,Pahela_Baishakh
Irish_cream,Irish_cream
Filé_powder,Filé_powder
Sinclair_Breweries,Sinclair_Breweries
Trader_Vic's,Trader_Vic's
Miguel_García_Granados,Miguel_García_Granados
Alice_Waters,Alice_Waters
Asado,阿薩多
Elizabeth_McCombs,Elizabeth_McCombs
Broma_process,Broma_process
Gugelhupf,奶油圆蛋糕
Mad_Dog_Coll,Mad_Dog_Coll
Vitis_rotundifolia,Vitis_rotundifolia
Heinrich_Brandt,Heinrich_Brandt
Joulupöytä,Joulupöytä
Korma,Korma
White_rice,白米
Cruller,Cruller
Maultasche,德国馄饨
Frank_Ténot,Frank_Ténot
Bob_Jones_Sr.,Bob_Jones_Sr.
Arrowhead_Water,Arrowhead_Water
Charles_Ehresmann,夏尔·埃雷斯曼
Karsk,Karsk
Jim_Cantalupo,吉姆·坎塔卢波
Haliotis_cracherodii,Haliotis_cracherodii
List_of_products_manufactured_by_The_Hershey_Company,List_of_products_manufactured_by_The_Hershey_Company
Stephen_Smith_(Australian_politician),Stephen_Smith_(Australian_politician)
Potato_masher,土豆泥捣具
Granita,Granita
Kit_Kat,奇巧巧克力
Grignolino,Grignolino
Grüner_Veltliner,Grüner_Veltliner
Mauzac_(grape),Mauzac_(grape)
Butter_chicken,Butter_chicken
"Don_Valley,_Victoria","Don_Valley,_Victoria"
"Gruyere,_Victoria","Gruyere,_Victoria"
Jenever,Jenever
English_muffin,English_muffin
Amelanchier_alnifolia,Amelanchier_alnifolia
Focaccia,福卡恰
Heinrich_Reissdorf,Heinrich_Reissdorf
Raúl_Musibay,Raúl_Musibay
"Dromana,_Victoria","Dromana,_Victoria"
Ravioli,意大利餃
Usu_(mortar),Usu_(mortar)
Annoyance_Theatre,Annoyance_Theatre
Jorge_Castillo_(chef),Jorge_Castillo_(chef)
Dominique_Wilkins,多米尼克·威尔金斯
Cottonseed_oil,棉籽油
"Jonathan_Guinness,_3rd_Baron_Moyne","Jonathan_Guinness,_3rd_Baron_Moyne"
Jim_Jackson_(basketball),吉姆·杰克逊
Lot_M._Morrill,洛特·M·莫里尔
Fudge,乳脂軟糖
International_Maize_and_Wheat_Improvement_Center,International_Maize_and_Wheat_Improvement_Center
Ninfa's,Ninfa's
Boiled_peanuts,Boiled_peanuts
Xanthorrhoea,Xanthorrhoea
Maxwell_House,麥斯威爾
Jean-Pierre_Papin,让-皮埃尔·帕潘
Apple_Jacks,蘋果肉桂脆片
Plymouth_Gin_Distillery,Plymouth_Gin_Distillery
Marie_Tussaud,杜莎夫人
Borage,琉璃苣
Winery,Winery
South_Norwalk,South_Norwalk
Charles_Fehrenbach_(astronomer),Charles_Fehrenbach_(astronomer)
Rick_Stein,Rick_Stein
Surge_(drink),Surge_(drink)
Mountain_goat,雪羊
George_S._Boutwell,乔治·S·鲍特韦尔
ISWN,ISWN
Allium_tricoccum,Allium_tricoccum
Knights_of_Father_Mathew,Knights_of_Father_Mathew
Pandebono,Pandebono
Three_Sisters_tomato,Three_Sisters_tomato
Three_Sisters_(agriculture),Three_Sisters_(agriculture)
Hollandaise_sauce,荷蘭醬
White_Castle_(restaurant),白城堡 (餐廳)
Charles_Frédéric_Girard,查尔斯·弗雷德里克·吉拉德
Allied_Domecq,Allied_Domecq
Berthillon,Berthillon
Feijoada,Feijoada
"Dumbleyung,_Western_Australia","Dumbleyung,_Western_Australia"
Danièle_Chatelain,Danièle_Chatelain
Corn_Pops,Corn_Pops
Crispix,Crispix
Disney_Hunny_B's_Honey-Graham,Disney_Hunny_B's_Honey-Graham
Disney_Mickey's_Magix,Disney_Mickey's_Magix
Pho,越南粉
Horchata,歐洽塔
Philosopher's_Walk,哲学之道
Arte,德法公共电视台
Mike_Bibby,迈克·毕比
Herdwick,賀德威克
Ueno_Park,上野公園
Georges_Duboeuf,Georges_Duboeuf
Margaritaville,Margaritaville
Orange_drink,Orange_drink
"Prince_Edward_County,_Ontario",愛德華王子縣 (安大略省)
Viognier,Viognier
Labrador_tea,Labrador_tea
Ribes_triste,矮茶藨子
Grenache,Grenache
Sangiovese,Sangiovese
Spangles_(sweets),Spangles_(sweets)
Northampton_Saints,Northampton_Saints
Wasps_RFC,Wasps_RFC
Lavash,Lavash
Boz_Scaggs,Boz_Scaggs
Capelin,毛鱗魚
North_Ronaldsay_sheep,North_Ronaldsay_sheep
Pizza_Delight,Pizza_Delight
Antonio_Chacón,Antonio_Chacón
Mrs._Wilkes'_Dining_Room,Mrs._Wilkes'_Dining_Room
Tormore_distillery,Tormore_distillery
Kapenta,Kapenta
Titanic_Brewery,Titanic_Brewery
Yodels,Yodels
Drake's_Cakes,Drake's_Cakes
Boston_Market,Boston_Market
Stonewall_Inn,石牆酒吧
Mackeson_Stout,Mackeson_Stout
Stade_Toulousain,Stade_Toulousain
Fruitcake,Fruitcake
The_Glee_Club,The_Glee_Club
Falcon_Crest,Falcon_Crest
Butterscotch,Butterscotch
Milk_toast,Milk_toast
Flavor_Aid,Flavor_Aid
Stephon_Marbury,斯蒂芬·马布里
Schlumberger_brothers,Schlumberger_brothers
Vegetarian_Society,Vegetarian_Society
Gordon_Ramsay,戈登·拉姆齊
Lagavulin_distillery,Lagavulin_distillery
Granola,穀麥
"Pelee,_Ontario","Pelee,_Ontario"
Jones_Soda,Jones_Soda
Buccellato,Buccellato
Tragopogon_porrifolius,蒜叶婆罗门参
Mothers_Against_Drunk_Driving,Mothers_Against_Drunk_Driving
York_Peppermint_Pattie,York_Peppermint_Pattie
Nissin_Foods,日清食品
Avgolemono,Avgolemono
Super_Size_Me,不瘦降之謎
John_Arlott,John_Arlott
Barrel,桶
Caesar_(cocktail),凱撒雞尾酒
